id_cliente;id_contrato;data_entrada;saldo;dias_atraso;bloqueio
C0000550;CT000550B;2026-09-17;2307,63;444;
C0000551;CT000551;2026-09-17;4644,03;173;
C0000552;CT000552;2026-09-17;10638,21;64;
C0000553;CT000553;2026-09-17;2457,56;36;
C0000554;CT000554;2026-09-17;4093,49;165;
C0000555;CT000555;2026-09-17;182,92;147;
C0000556;CT000556;2026-09-17;4461,01;112;
C0000557;CT000557;2026-09-17;1308,77;17;
C0000558;CT000558;2026-09-17;26678,00;53;
C0000559;CT000559;2026-09-17;4844,96;623;
C0000560;CT000560;2026-09-17;440,42;452;
C0000561;CT000561;2026-09-17;834,05;162;judicial
C0000562;CT000562;2026-09-17;4198,31;84;
C0000563;CT000563;2026-09-17;2238,81;166;
C0000564;CT000564;2026-09-17;11575,83;307;
C0000565;CT000565;2026-09-17;929,61;151;
C0000566;CT000566;2026-09-17;21224,11;280;
C0000567;CT000567;2026-09-17;20605,10;91;judicial
C0000568;CT000568;2026-09-17;473,13;6;
C0000569;CT000569;2026-09-17;407,08;85;
C0000570;CT000570;2026-09-17;1578,69;603;
C0000571;CT000571;2026-09-17;5595,72;6;
C0000572;CT000572;2026-09-17;5635,70;110;
C0000573;CT000573;2026-09-17;1811,86;172;
C0000574;CT000574;2026-09-17;2951,82;15;
C0000575;CT000575;2026-09-17;13768,61;50;
C0000576;CT000576;2026-09-17;3010,62;31;
C0000577;CT000577;2026-09-17;890,60;56;
C0000578;CT000578;2026-09-17;27404,60;60;
C0000579;CT000579;2026-09-17;19690,20;297;
C0000580;CT000580;2026-09-17;518,77;425;
C0000581;CT000581;2026-09-17;15025,37;77;
C0000582;CT000582;2026-09-17;2125,40;60;
C0000583;CT000583;2026-09-17;2721,74;582;
C0000584;CT000584;2026-09-17;3369,18;9;
C0000585;CT000585;2026-09-17;12639,79;118;
C0000586;CT000586;2026-09-17;839,66;133;
C0000587;CT000587;2026-09-17;170,07;33;
C0000588;CT000588;2026-09-17;28452,03;635;
C0000589;CT000589;2026-09-17;28451,19;14;
C0000590;CT000590;2026-09-17;283,43;32;
C0000591;CT000591;2026-09-17;1180,11;54;
C0000592;CT000592;2026-09-17;127,31;14;
C0000593;CT000593;2026-09-17;2726,53;24;
C0000594;CT000594;2026-09-17;4185,47;164;
C0000595;CT000595;2026-09-17;6435,96;266;
C0000596;CT000596;2026-09-17;823,53;55;
C0000597;CT000597;2026-09-17;3015,98;551;
C0000598;CT000598;2026-09-17;1795,42;35;
C0000599;CT000599;2026-09-17;26944,52;64;
